time, sw_id, port_id, q_id, q_len, port_len
1600000, 17, 8, 4, 0, 60
1600000, 17, 8, 5, 0, 60
1600000, 17, 8, 6, 0, 60
1600000, 17, 8, 7, 0, 60
1600000, 18, 1, 0, 0, 60
1600000, 18, 1, 1, 0, 60
1600000, 18, 1, 2, 0, 60
1600000, 18, 1, 3, 60, 60
1600000, 18, 1, 4, 0, 60
1600000, 18, 1, 5, 0, 60
1600000, 18, 1, 6, 0, 60
1600000, 18, 1, 7, 0, 60
1600000, 19, 2, 0, 0, 9112
1600000, 19, 2, 1, 0, 9112
1600000, 19, 2, 2, 0, 9112
1600000, 19, 2, 3, 9112, 9112
1600000, 19, 2, 4, 0, 9112
1600000, 19, 2, 5, 0, 9112
1600000, 19, 2, 6, 0, 9112
1600000, 19, 2, 7, 0, 9112
1600000, 20, 1, 0, 0, 60
1600000, 20, 1, 1, 0, 60
1600000, 20, 1, 2, 0, 60
1600000, 20, 1, 3, 60, 60
1600000, 20, 1, 4, 0, 60
1600000, 20, 1, 5, 0, 60
1600000, 20, 1, 6, 0, 60
1600000, 20, 1, 7, 0, 60
1600000, 20, 2, 0, 0, 120
1600000, 20, 2, 1, 0, 120
1600000, 20, 2, 2, 0, 120
1600000, 20, 2, 3, 120, 120
1600000, 20, 2, 4, 0, 120
1600000, 20, 2, 5, 0, 120
1600000, 20, 2, 6, 0, 120
1600000, 20, 2, 7, 0, 120
1600000, 21, 1, 0, 0, 60
1600000, 21, 1, 1, 0, 60
1600000, 21, 1, 2, 0, 60
1600000, 21, 1, 3, 60, 60
1600000, 21, 1, 4, 0, 60
1600000, 21, 1, 5, 0, 60
