time, src, dst, sport, dport, size, curr_rate
1400000, 2, 3, 10277, 100, 524288, 2880000000000
1400000, 2, 11, 10040, 100, 524288, 400000000000
1400000, 2, 11, 10039, 100, 524288, 400000000000
1400000, 2, 11, 10038, 100, 524288, 400000000000
1400000, 3, 4, 10282, 100, 524288, 2880000000000
1400000, 3, 4, 10281, 100, 524288, 2880000000000
1400000, 3, 4, 10280, 100, 524288, 2880000000000
1400000, 3, 4, 10279, 100, 524288, 2880000000000
1400000, 3, 4, 10278, 100, 524288, 2880000000000
1400000, 3, 4, 10277, 100, 524288, 2880000000000
1400000, 3, 12, 10040, 100, 524288, 400000000000
1400000, 3, 4, 10276, 100, 524288, 2880000000000
1400000, 3, 12, 10039, 100, 524288, 400000000000
1400000, 3, 12, 10038, 100, 524288, 400000000000
1400000, 3, 12, 10037, 100, 524288, 400000000000
1400000, 4, 13, 10040, 100, 524288, 400000000000
1400000, 4, 5, 10279, 100, 524288, 2880000000000
1400000, 4, 5, 10278, 100, 524288, 2880000000000
1400000, 4, 5, 10277, 100, 524288, 2880000000000
1400000, 4, 5, 10276, 100, 524288, 2880000000000
1400000, 4, 13, 10039, 100, 524288, 400000000000
1400000, 4, 5, 10280, 100, 524288, 2880000000000
1400000, 4, 13, 10038, 100, 524288, 400000000000
1400000, 5, 6, 10280, 100, 524288, 2880000000000
1400000, 5, 6, 10279, 100, 524288, 2880000000000
1400000, 5, 6, 10278, 100, 524288, 2880000000000
1400000, 5, 6, 10277, 100, 524288, 2880000000000
1400000, 5, 6, 10276, 100, 524288, 2880000000000
1400000, 5, 6, 10275, 100, 524288, 2880000000000
1400000, 5, 14, 10039, 100, 524288, 400000000000
1400000, 6, 7, 10281, 100, 524288, 2880000000000
1400000, 6, 7, 10280, 100, 524288, 2880000000000
1400000, 6, 7, 10279, 100, 524288, 2880000000000
1400000, 6, 7, 10278, 100, 524288, 2880000000000
1400000, 6, 7, 10277, 100, 524288, 2880000000000
1400000, 6, 15, 10039, 100, 524288, 400000000000
1400000, 7, 8, 10040, 100, 524288, 400000000000
1400000, 7, 0, 10281, 100, 524288, 2880000000000
1400000, 7, 0, 10280, 100, 524288, 2880000000000
1400000, 7, 8, 10039, 100, 524288, 400000000000
1400000, 7, 0, 10275, 100, 524288, 2880000000000
1400000, 7, 0, 10276, 100, 524288, 2880000000000
1400000, 7, 0, 10277, 100, 524288, 2880000000000
1400000, 7, 0, 10278, 100, 524288, 2880000000000
1400000, 7, 0, 10279, 100, 524288, 2880000000000
1400000, 8, 9, 10283, 100, 524288, 2880000000000
1400000, 8, 9, 10282, 100, 524288, 2880000000000
1400000, 8, 1, 10041, 100, 524288, 400000000000
1400000, 8, 9, 10281, 100, 524288, 2880000000000
1400000, 8, 1, 10040, 100, 524288, 400000000000
1400000, 8, 1, 10039, 100, 524288, 400000000000
1400000, 9, 2, 10041, 100, 524288, 400000000000
1400000, 9, 10, 10284, 100, 524288, 2880000000000
1400000, 9, 10, 10283, 100, 524288, 2880000000000
1400000, 9, 10, 10282, 100, 524288, 2880000000000
1400000, 9, 10, 10281, 100, 524288, 2880000000000
1400000, 9, 10, 10280, 100, 524288, 2880000000000
1400000, 9, 2, 10040, 100, 524288, 400000000000
1400000, 10, 11, 10285, 100, 524288, 2880000000000
1400000, 10, 11, 10284, 100, 524288, 2880000000000
1400000, 10, 11, 10283, 100, 524288, 2880000000000
1400000, 10, 3, 10040, 100, 524288, 400000000000
1400000, 10, 11, 10282, 100, 524288, 2880000000000
1400000, 10, 11, 10281, 100, 524288, 2880000000000
1400000, 11, 12, 10283, 100, 524288, 2880000000000
1400000, 11, 12, 10282, 100, 524288, 2880000000000
1400000, 11, 12, 10281, 100, 524288, 2880000000000
1400000, 11, 12, 10280, 100, 524288, 2880000000000
1400000, 11, 12, 10279, 100, 524288, 2880000000000
1400000, 11, 4, 10040, 100, 524288, 400000000000
1400000, 11, 4, 10039, 100, 524288, 400000000000
1400000, 12, 5, 10040, 100, 524288, 400000000000
1400000, 12, 13, 10279, 100, 524288, 2880000000000
1400000, 12, 13, 10277, 100, 524288, 2880000000000
1400000, 12, 13, 10276, 100, 524288, 2880000000000
1400000, 12, 13, 10278, 100, 524288, 2880000000000
1400000, 12, 5, 10039, 100, 524288, 400000000000
1400000, 13, 14, 10277, 100, 524288, 2880000000000
1400000, 13, 14, 10276, 100, 524288, 2880000000000
1400000, 13, 6, 10040, 100, 524288, 400000000000
1400000, 14, 15, 10281, 100, 524288, 2880000000000
1400000, 14, 15, 10280, 100, 524288, 2880000000000
1400000, 14, 15, 10276, 100, 524288, 2880000000000
1400000, 14, 15, 10279, 100, 524288, 2880000000000
1400000, 14, 7, 10040, 100, 524288, 400000000000
1400000, 14, 15, 10278, 100, 524288, 2880000000000
1400000, 14, 7, 10039, 100, 524288, 400000000000
1400000, 14, 15, 10277, 100, 524288, 2880000000000
1400000, 15, 0, 10040, 100, 524288, 400000000000
1400000, 15, 0, 10039, 100, 524288, 400000000000
1500000, 0, 1, 10343, 100, 524288, 2880000000000
1500000, 0, 1, 10342, 100, 524288, 2880000000000
1500000, 0, 1, 10341, 100, 524288, 2880000000000
1500000, 0, 1, 10340, 100, 524288, 2880000000000
1500000, 0, 9, 10048, 100, 524288, 400000000000
1500000, 0, 1, 10339, 100, 524288, 2880000000000
1500000, 1, 10, 10048, 100, 524288, 400000000000
1500000, 1, 10, 10047, 100, 524288, 400000000000
1500000, 1, 10, 10046, 100, 524288, 400000000000
1500000, 2, 3, 10343, 100, 524288, 2880000000000
1500000, 2, 3, 10342, 100, 524288, 2880000000000
1500000, 2, 3, 10341, 100, 524288, 2880000000000
1500000, 2, 3, 10340, 100, 524288, 2880000000000
1500000, 2, 3, 10339, 100, 524288, 2880000000000
1500000, 2, 3, 10338, 100, 524288, 2880000000000
1500000, 2, 3, 10337, 100, 524288, 2880000000000
1500000, 2, 11, 10048, 100, 524288, 400000000000
1500000, 2, 3, 10336, 100, 524288, 2880000000000
1500000, 2, 11, 10047, 100, 524288, 400000000000
1500000, 2, 11, 10046, 100, 524288, 400000000000
1500000, 3, 4, 10340, 100, 524288, 2880000000000
1500000, 3, 4, 10339, 100, 524288, 2880000000000
1500000, 3, 4, 10338, 100, 524288, 2880000000000
1500000, 3, 4, 10337, 100, 524288, 2880000000000
1500000, 3, 4, 10336, 100, 524288, 2880000000000
1500000, 3, 4, 10335, 100, 524288, 2880000000000
1500000, 3, 12, 10048, 100, 524288, 400000000000
1500000, 3, 12, 10047, 100, 524288, 400000000000
1500000, 4, 13, 10048, 100, 524288, 400000000000
1500000, 4, 5, 10339, 100, 524288, 2880000000000
1500000, 4, 5, 10338, 100, 524288, 2880000000000
1500000, 4, 5, 10337, 100, 524288, 2880000000000
1500000, 4, 5, 10336, 100, 524288, 2880000000000
1500000, 4, 5, 10335, 100, 524288, 2880000000000
1500000, 4, 5, 10334, 100, 524288, 2880000000000
1500000, 4, 5, 10333, 100, 524288, 2880000000000
1500000, 4, 5, 10332, 100, 524288, 2880000000000
1500000, 4, 13, 10047, 100, 524288, 400000000000
1500000, 5, 6, 10338, 100, 524288, 2880000000000
1500000, 5, 6, 10337, 100, 524288, 2880000000000
1500000, 5, 6, 10336, 100, 524288, 2880000000000
1500000, 5, 14, 10047, 100, 524288, 400000000000
1500000, 6, 7, 10341, 100, 524288, 2880000000000
1500000, 6, 15, 10047, 100, 524288, 400000000000
1500000, 7, 0, 10346, 100, 524288, 2880000000000
1500000, 7, 0, 10345, 100, 524288, 2880000000000
1500000, 7, 8, 10048, 100, 524288, 400000000000
1500000, 7, 0, 10344, 100, 524288, 2880000000000
1500000, 7, 0, 10343, 100, 524288, 2880000000000
1500000, 7, 0, 10342, 100, 524288, 2880000000000
1500000, 7, 0, 10341, 100, 524288, 2880000000000
1500000, 7, 0, 10340, 100, 524288, 2880000000000
1500000, 7, 0, 10339, 100, 524288, 2880000000000
1500000, 7, 0, 10338, 100, 524288, 2880000000000
1500000, 7, 0, 10337, 100, 524288, 2880000000000
1500000, 8, 9, 10340, 100, 524288, 2880000000000
1500000, 8, 9, 10339, 100, 524288, 2880000000000
1500000, 8, 9, 10338, 100, 524288, 2880000000000
1500000, 8, 1, 10048, 100, 524288, 400000000000
1500000, 8, 9, 10337, 100, 524288, 2880000000000
1500000, 8, 9, 10336, 100, 524288, 2880000000000
1500000, 9, 10, 10336, 100, 524288, 2880000000000
1500000, 9, 2, 10049, 100, 524288, 400000000000
1500000, 9, 2, 10048, 100, 524288, 400000000000
1500000, 10, 11, 10335, 100, 524288, 2880000000000
1500000, 10, 11, 10334, 100, 524288, 2880000000000
1500000, 10, 11, 10333, 100, 524288, 2880000000000
1500000, 10, 11, 10332, 100, 524288, 2880000000000
1500000, 10, 11, 10331, 100, 524288, 2880000000000
1500000, 10, 11, 10330, 100, 524288, 2880000000000
1500000, 10, 3, 10048, 100, 524288, 400000000000
1500000, 10, 3, 10047, 100, 524288, 400000000000
1500000, 11, 12, 10333, 100, 524288, 2880000000000
1500000, 11, 4, 10047, 100, 524288, 400000000000
1500000, 12, 13, 10338, 100, 524288, 2880000000000
1500000, 13, 14, 10340, 100, 524288, 2880000000000
1500000, 14, 15, 10338, 100, 524288, 2880000000000
1500000, 14, 15, 10340, 100, 524288, 2880000000000
1500000, 14, 7, 10049, 100, 524288, 400000000000
1500000, 14, 15, 10339, 100, 524288, 2880000000000
1500000, 14, 7, 10048, 100, 524288, 400000000000
1500000, 15, 8, 10339, 100, 524288, 2880000000000
1500000, 15, 0, 10050, 100, 524288, 400000000000
1500000, 15, 8, 10338, 100, 524288, 2880000000000
1500000, 15, 8, 10337, 100, 524288, 2880000000000
1500000, 15, 8, 10336, 100, 524288, 2880000000000
1500000, 15, 0, 10049, 100, 524288, 400000000000
1500000, 15, 0, 10048, 100, 524288, 400000000000
1600000, 0, 1, 10399, 100, 524288, 2880000000000
1600000, 0, 1, 10398, 100, 524288, 2880000000000
1600000, 0, 1, 10397, 100, 524288, 2880000000000
1600000, 0, 1, 10396, 100, 524288, 2880000000000
1600000, 0, 1, 10395, 100, 524288, 2880000000000
1600000, 0, 9, 10057, 100, 524288, 400000000000
1600000, 0, 9, 10056, 100, 524288, 400000000000
1600000, 0, 9, 10055, 100, 524288, 400000000000
1600000, 0, 9, 10054, 100, 524288, 400000000000
1600000, 1, 2, 10397, 100, 524288, 2880000000000
1600000, 1, 2, 10396, 100, 524288, 2880000000000
1600000, 1, 2, 10395, 100, 524288, 2880000000000
1600000, 1, 10, 10058, 100, 524288, 400000000000
1600000, 1, 2, 10394, 100, 524288, 2880000000000
1600000, 1, 10, 10057, 100, 524288, 400000000000
1600000, 1, 10, 10056, 100, 524288, 400000000000
1600000, 2, 3, 10396, 100, 524288, 2880000000000
1600000, 2, 3, 10395, 100, 524288, 2880000000000
1600000, 2, 11, 10058, 100, 524288, 400000000000
1600000, 2, 11, 10057, 100, 524288, 400000000000
1600000, 2, 11, 10056, 100, 524288, 400000000000
1600000, 3, 4, 10400, 100, 524288, 2880000000000
1600000, 3, 4, 10399, 100, 524288, 2880000000000
1600000, 3, 12, 10057, 100, 524288, 400000000000
1600000, 3, 12, 10056, 100, 524288, 400000000000
1600000, 3, 4, 10398, 100, 524288, 2880000000000
1600000, 3, 4, 10397, 100, 524288, 2880000000000
1600000, 3, 12, 10055, 100, 524288, 400000000000
1600000, 4, 5, 10399, 100, 524288, 2880000000000
1600000, 4, 5, 10398, 100, 524288, 2880000000000
1600000, 4, 5, 10397, 100, 524288, 2880000000000
1600000, 4, 5, 10396, 100, 524288, 2880000000000
1600000, 4, 5, 10395, 100, 524288, 2880000000000
1600000, 4, 5, 10394, 100, 524288, 2880000000000
1600000, 4, 5, 10393, 100, 524288, 2880000000000
1600000, 4, 5, 10392, 100, 524288, 2880000000000
1600000, 4, 5, 10391, 100, 524288, 2880000000000
1600000, 4, 13, 10056, 100, 524288, 400000000000
1600000, 5, 14, 10057, 100, 524288, 400000000000
1600000, 5, 6, 10392, 100, 524288, 2880000000000
1600000, 5, 14, 10056, 100, 524288, 400000000000
1600000, 5, 14, 10055, 100, 524288, 400000000000
1600000, 5, 14, 10054, 100, 524288, 400000000000
1600000, 6, 7, 10395, 100, 524288, 2880000000000
1600000, 6, 7, 10394, 100, 524288, 2880000000000
1600000, 6, 7, 10393, 100, 524288, 2880000000000
1600000, 6, 7, 10392, 100, 524288, 2880000000000
1600000, 6, 15, 10057, 100, 524288, 400000000000
1600000, 6, 15, 10056, 100, 524288, 400000000000
1600000, 6, 15, 10055, 100, 524288, 400000000000
1600000, 7, 8, 10057, 100, 524288, 400000000000
1600000, 7, 8, 10056, 100, 524288, 400000000000
1600000, 8, 9, 10398, 100, 524288, 2880000000000
1600000, 8, 9, 10397, 100, 524288, 2880000000000
1600000, 8, 9, 10396, 100, 524288, 2880000000000
1600000, 8, 9, 10395, 100, 524288, 2880000000000
1600000, 8, 1, 10057, 100, 524288, 400000000000
1600000, 8, 1, 10056, 100, 524288, 400000000000
1600000, 9, 2, 10057, 100, 524288, 400000000000
1600000, 9, 2, 10056, 100, 524288, 400000000000
1600000, 9, 2, 10055, 100, 524288, 400000000000
1600000, 10, 11, 10399, 100, 524288, 2880000000000
1600000, 10, 11, 10398, 100, 524288, 2880000000000
1600000, 10, 11, 10397, 100, 524288, 2880000000000
1600000, 10, 11, 10396, 100, 524288, 2880000000000
1600000, 10, 11, 10395, 100, 524288, 2880000000000
1600000, 10, 11, 10394, 100, 524288, 2880000000000
1600000, 10, 11, 10393, 100, 524288, 2880000000000
1600000, 10, 3, 10058, 100, 524288, 400000000000
1600000, 10, 3, 10057, 100, 524288, 400000000000
1600000, 10, 3, 10056, 100, 524288, 400000000000
1600000, 11, 12, 10396, 100, 524288, 2880000000000
1600000, 11, 4, 10058, 100, 524288, 400000000000
1600000, 11, 4, 10057, 100, 524288, 400000000000
1600000, 11, 4, 10054, 100, 524288, 400000000000
1600000, 11, 4, 10055, 100, 524288, 400000000000
1600000, 11, 4, 10056, 100, 524288, 400000000000
1600000, 12, 13, 10398, 100, 524288, 2880000000000
1600000, 12, 13, 10397, 100, 524288, 2880000000000
1600000, 12, 13, 10396, 100, 524288, 2880000000000
1600000, 12, 5, 10054, 100, 524288, 400000000000
1600000, 12, 5, 10055, 100, 524288, 400000000000
1600000, 12, 5, 10056, 100, 524288, 400000000000
1600000, 12, 5, 10057, 100, 524288, 400000000000
1600000, 12, 13, 10392, 100, 524288, 2880000000000
1600000, 12, 13, 10393, 100, 524288, 2880000000000
1600000, 12, 13, 10394, 100, 524288, 2880000000000
1600000, 12, 13, 10395, 100, 524288, 2880000000000
1600000, 13, 14, 10394, 100, 524288, 2880000000000
1600000, 13, 14, 10393, 100, 524288, 2880000000000
1600000, 13, 6, 10055, 100, 524288, 400000000000
1600000, 14, 15, 10396, 100, 524288, 2880000000000
1600000, 14, 15, 10395, 100, 524288, 2880000000000
1600000, 14, 15, 10394, 100, 524288, 2880000000000
1600000, 14, 15, 10393, 100, 524288, 2880000000000
1600000, 14, 7, 10056, 100, 524288, 400000000000
1600000, 15, 8, 10397, 100, 524288, 2880000000000
1600000, 15, 8, 10396, 100, 524288, 2880000000000
1600000, 15, 0, 10057, 100, 524288, 400000000000
