time, node_id, port_id, bandwidth
700000, 21, 33, 0.072000
700000, 21, 35, 10.620160
700000, 21, 36, 0.072000
700000, 21, 37, 0.072000
700000, 21, 38, 10.548160
700000, 21, 40, 10.620160
700000, 21, 41, 10.620160
700000, 21, 43, 10.548160
700000, 21, 44, 0.072000
700000, 21, 46, 10.548160
700000, 21, 47, 21.096320
700000, 21, 48, 31.644480
700000, 21, 49, 0.072000
700000, 21, 50, 21.168320
700000, 21, 52, 10.620160
700000, 21, 53, 10.620160
700000, 21, 55, 10.692160
700000, 21, 57, 10.548160
700000, 21, 58, 10.548160
700000, 21, 59, 10.836160
700000, 21, 60, 0.144000
700000, 21, 61, 10.548160
700000, 21, 63, 0.072000
700000, 21, 64, 10.620160
700000, 21, 65, 0.072000
700000, 21, 66, 10.548160
700000, 22, 1, 204.293760
700000, 22, 2, 212.364800
700000, 22, 3, 21.240320
700000, 22, 4, 21.168320
700000, 22, 5, 10.548160
700000, 22, 7, 0.072000
700000, 22, 8, 0.038400
700000, 22, 10, 0.072000
700000, 22, 13, 0.072000
700000, 22, 15, 0.072000
700000, 22, 16, 0.144000
700000, 22, 18, 0.072000
700000, 22, 19, 10.692160
700000, 22, 21, 0.072000
700000, 22, 24, 0.072000
700000, 22, 25, 10.620160
700000, 22, 27, 10.210240
700000, 22, 28, 10.620160
700000, 22, 30, 10.548160
700000, 22, 32, 10.548160
700000, 22, 33, 10.692160
700000, 22, 34, 21.240320
700000, 22, 35, 21.168320
700000, 22, 37, 21.168320
700000, 22, 39, 31.644480
700000, 22, 40, 10.548160
700000, 22, 41, 21.096320
700000, 22, 43, 10.548160
700000, 22, 44, 0.072000
700000, 22, 45, 10.548160
700000, 22, 47, 21.096320
700000, 22, 48, 21.096320
700000, 22, 49, 0.072000
700000, 22, 50, 21.240320
700000, 22, 51, 10.850560
700000, 22, 52, 10.548160
700000, 22, 54, 10.620160
700000, 22, 55, 10.548160
700000, 22, 57, 0.072000
700000, 22, 58, 10.572160
700000, 22, 59, 10.548160
700000, 22, 60, 10.615360
700000, 22, 64, 10.620160
700000, 22, 65, 0.163200
700000, 22, 66, 0.072000
700000, 23, 1, 209.734400
700000, 23, 2, 206.423040
700000, 23, 3, 0.019200
700000, 23, 4, 31.644480
700000, 23, 7, 10.548160
700000, 23, 9, 31.644480
700000, 23, 10, 10.620160
700000, 23, 11, 0.072000
700000, 23, 12, 2.196480
700000, 23, 13, 21.096320
700000, 23, 14, 10.548160
700000, 23, 15, 10.548160
700000, 23, 17, 0.144000
700000, 23, 19, 0.072000
700000, 23, 21, 10.692160
700000, 23, 23, 0.192000
700000, 23, 24, 10.548160
700000, 23, 26, 0.072000
700000, 23, 28, 31.644480
700000, 23, 29, 10.548160
700000, 23, 30, 21.168320
700000, 23, 31, 21.168320
700000, 23, 34, 0.072000
700000, 23, 35, 21.312320
700000, 23, 36, 0.072000
700000, 23, 37, 10.548160
700000, 23, 39, 5.793280
700000, 23, 40, 0.144000
700000, 23, 42, 10.548160
700000, 23, 43, 0.091200
700000, 23, 47, 0.307200
700000, 23, 48, 14.168960
700000, 23, 49, 6.517440
700000, 23, 51, 21.096320
700000, 23, 52, 10.548160
700000, 23, 53, 0.072000
700000, 23, 54, 0.072000
700000, 23, 55, 15.689280
700000, 23, 57, 0.216000
700000, 23, 59, 0.072000
700000, 23, 60, 0.072000
700000, 23, 62, 0.072000
700000, 23, 63, 10.620160
700000, 23, 64, 21.240320
700000, 23, 65, 10.620160
700000, 23, 66, 10.548160
700000, 24, 1, 198.558080
700000, 24, 2, 196.380800
700000, 24, 3, 0.144000
700000, 24, 5, 10.548160
700000, 24, 7, 0.072000
700000, 24, 8, 0.144000
700000, 24, 9, 21.240320
700000, 24, 10, 10.548160
700000, 24, 11, 31.644480
700000, 24, 12, 10.620160
700000, 24, 13, 10.692160
700000, 24, 14, 21.168320
700000, 24, 17, 10.620160
700000, 24, 18, 10.620160
700000, 24, 19, 10.548160
700000, 24, 20, 10.620160
700000, 24, 21, 10.548160
700000, 24, 22, 0.072000
700000, 24, 23, 10.548160
700000, 24, 24, 0.076800
700000, 24, 25, 10.548160
700000, 24, 26, 0.072000
700000, 24, 30, 10.620160
700000, 24, 31, 21.096320
700000, 24, 32, 21.096320
700000, 24, 34, 10.548160
700000, 24, 36, 10.692160
700000, 24, 37, 0.144000
700000, 24, 38, 10.692160
700000, 24, 40, 10.548160
700000, 24, 41, 31.644480
700000, 24, 42, 0.072000
700000, 24, 43, 0.072000
700000, 24, 44, 0.028800
700000, 24, 46, 0.072000
700000, 24, 47, 10.548160
700000, 24, 48, 0.072000
700000, 24, 49, 0.072000
700000, 24, 51, 0.072000
700000, 24, 53, 0.144000
700000, 24, 55, 8.689920
700000, 24, 56, 21.168320
700000, 24, 57, 10.548160
700000, 24, 58, 0.038400
700000, 24, 59, 10.620160
